university,school,degree,recordCount
"National University of Singapore","YLL School of Medicine","Bachelor of Medicine and Bachelor of Surgery #","2"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Industrial and Systems Engineering)","2"
"National University of Singapore","Faculty of Science","Bachelor of Science (Computational Biology) ^","2"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Inter-Disciplinary Double Major ^","2"
"Nanyang Technological University","National Institute of Education (NIE)","Science (with Education) ^","2"
"Singapore Institute of Technology","SIT-University of Glasgow","Bachelor of Engineering with Honours in Aerospace Engineering","2"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Naval Architecture ^","2"
"National University of Singapore","School of Computing","Bachelor of Computing (Information Security) ^","2"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Biomedical Engineering)","2"
"Singapore University of Social Sciences","School of Business","Bachelor of Science in Supply Chain Management","2"
"National University of Singapore","Yong Loo Lin School (Medicine)","Bachelor of Medicine and Bachelor of Surgery # **","2"
"Singapore Institute of Technology","SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Physiotherapy)","2"
"Singapore Institute of Technology","The Culinary Institute of America","Bachelor of Business Administration in Food Business Management ^","2"
"Singapore Institute of Technology","University of Nevada, Las Vegas","Bachelor of Science (Major in Hospitality Management)","2"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Philosophy ^","2"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Civil Engineering)","2"
"National University of Singapore","Faculty Of Dentistry","Bachelor of Dental Surgery","2"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Materials Science And Engineering)","2"
"Singapore Institute of Technology","SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Occupational Therapy)","2"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Chemical Engineering)","2"
"National University of Singapore","Multi-Disciplinary Programme","Bachelor of Environmental Studies","2"
"Nanyang Technological University","College of Sciences","Biomedical Sciences **","2"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer Science & Game Design","2"
"Singapore Management University","School of Information Systems (4-year programme) *","Information Systems Management Cum Laude and above","2"
"National University of Singapore","School of Computing","Bachelor of Computing (Communications And Media) **","2"
"National University of Singapore","School of Design & Environment","Bachelor of Arts (Industrial Design) ^","2"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Environmental Engineering)","2"
"National University of Singapore","School of Design & Environment","Bachelor of Arts (Architecture)","2"
"Nanyang Technological University","College of Science","Biological and Biomedical Sciences","2"
"Singapore Management University","School of Social Sciences (4-year programme) *","Social Sciences Cum Laude and above","2"
"Singapore Management University","School of Business (4-year programme) *","Business Management Cum Laude and above","2"
"National University of Singapore","Faculty of Law","Bachelor of Laws (L.L.B) (Hons) #","2"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Arts in Game Design **","2"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Electrical Engineering)","2"
"Nanyang Technological University","College of Sciences","Biomedical Science (Traditional Chinese Medicine) #","2"
"Singapore Management University","School of Information Systems (4-year programme) *","Information Systems Management","2"
"National University of Singapore","Yong Siew Toh Conservatory of Music","Bachelor of Music **","2"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science (Diagnostic Radiography)","2"
"Nanyang Technological University","College of Science","Biological Sciences / Biomedical Sciences","1"
"National University of Singapore","School of Computing","Bachelor of Computing (Information Security)","1"
"National University of Singapore","NUS Business School","Bachelor of Business Administration
(Accountancy)^","1"
"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Engineering Science) **","1"
"Singapore Management University","School of Economics (4-year programme) *","Economics (4-year programme) Cum Laude and above","1"
"Nanyang Technological University","College of Engineering","Bachelor of Fine Arts (Hons)","1"
"National University of Singapore","School of Computing","Bachelor of Science (Business
Analytics)","1"
"Singapore Management University","School of Accountancy (4-year programme) *","Accountancy (4-years programme)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Chemical
Engineering)","1"
"National University of Singapore","Yong Loo Lin School (Medicine)","Bachelor of Medicine and Bachelor of
Surgery#**","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering)","1"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Public Policy And Global Affairs **","1"
"Singapore Management University","School of Economics (4-years programme) *","Economics","1"
"Singapore Management University","School of Computing & Information Systems (4-year programme) � Computer Science *","Computer Science","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Electrical
Engineering)","1"
"National University of Singapore","NUS Business School","Bachelor of Business Administration
(Hons)","1"
"Nanyang Technological University","College of Engineering","Double Degree in Engineering and
Economics^","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Science (Project and
Facilities Management)","1"
"Nanyang Technological University","College of Engineering","Information Engineering & Media","1"
"National University of Singapore","Multi-Disciplinary Programmes","Bachelor of Engineering (Computer
Engineering)","1"
"Singapore Management University","School of Law (4-year programme) *","Law#","1"
"Singapore Management University","School of Law (4-year programme) *","Law (4-years programme) #","1"
"Nanyang Technological University","College of Engineering","Information Engineering And Media and Economics **","1"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Linguistics & Multilingual Studies","1"
"Nanyang Technological University","National Institute of Education (NIE)","Arts (With Education)","1"
"Singapore Management University","School of Information Systems (4-years programme) *","Information Systems Management","1"
"Singapore Institute of Technology","SIT-Newcastle University","Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering ^","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Computational Biology)**","1"
"Singapore Management University","School of Law (4-years programme) *","Law Cum Laude and above #","1"
"Nanyang Technological University","College of Science","Biomedical Sciences and Chinese
Medicine#^","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer Science & Game Design **","1"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours
in Naval Architecture^","1"
"Nanyang Technological University","College of Engineering","Chemical & Biomolecular Engineering","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Psychology","1"
"Nanyang Technological University","College of Science","Mathematics and Mathematical Sciences","1"
"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Human Resource
Management","1"
